name,name_jp,ntotalpatients,npopulation,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2,areainkm^2
Hokkaido,北海道,61576,5506000,211,59884,1475,0,6,1280780,JP-01,83457
Aomori,青森県,5912,1373000,11,5863,38,0,0,105519,JP-02,9645
Iwate,岩手県,3496,1330000,9,3434,53,0,0,136733,JP-03,15279
Miyagi,宮城県,16300,2348000,5,16171,118,0,6,268002,JP-04,6862
Akita,秋田県,1934,1086000,0,1907,27,0,0,27689,JP-05,11636
Yamagata,山形県,3608,1169000,2,3550,56,0,0,116367,JP-06,6652
Fukushima,福島県,9532,2029000,26,9330,176,0,0,475319,JP-07,13783
Ibaraki,茨城県,24504,2970000,20,24264,220,0,0,40625,JP-08,6096
Tochigi,栃木県,15688,2008000,140,15431,117,0,0,530965,JP-09,6408
Gunma,群馬県,17432,2008000,130,17125,177,1,0,358507,JP-10,6362
Saitama,埼玉県,116175,7195000,168,114948,1059,1,0,1662239,JP-11,3768
Chiba,千葉県,100779,6216000,109,99604,1028,1,38,1243478,JP-12,5082
Tokyo,東京都,383495,13159000,816,379504,3175,2,0,4214420,JP-13,2104
Kanagawa,神奈川県,169960,9048000,254,168387,1319,2,0,1852689,JP-14,2416
Niigata,新潟県,8264,2374000,78,8124,62,0,0,331888,JP-15,10364
Toyama,富山県,4870,1093000,1,4817,52,0,0,133007,JP-16,2046
Ishikawa,石川県,8059,1170000,67,7833,137,0,22,215302,JP-17,4186
Fukui,福井県,3119,806000,4,3077,38,0,0,127308,JP-18,4190
Yamanashi,山梨県,5166,863000,5,5132,29,0,0,135182,JP-19,4201
Nagano,長野県,8998,2152000,59,8895,97,0,53,372201,JP-20,13105
Gifu,岐阜県,19303,2081000,15,19058,219,0,11,474892,JP-21,9768
Shizuoka,静岡県,26912,3765000,34,26670,209,0,1,738727,JP-22,7255
Aichi,愛知県,106840,7411000,128,105551,1161,0,0,1532509,JP-23,5116
Mie,三重県,14825,1855000,6,14983,163,0,327,273776,JP-24,5762
Shiga,滋賀県,12576,1411000,105,12367,104,0,0,298549,JP-25,3767
Kyoto,京都府,36278,2636000,183,35773,292,15,30,475932,JP-26,4613
Osaka,大阪府,204120,8865000,638,200418,3064,19,0,4280855,JP-27,1901
Hyogo,兵庫県,78927,5588000,115,77414,1398,2,0,871912,JP-28,8396
Nara,奈良県,15997,1401000,56,15792,149,0,0,284906,JP-29,3691
Wakayama,和歌山県,5306,1002000,2,5136,62,0,106,68615,JP-30,4726
Tottori,鳥取県,1669,589000,0,1639,5,0,25,170807,JP-31,3507
Shimane,島根県,1774,717000,41,1728,5,0,0,64047,JP-32,6708
Okayama,岡山県,15568,1945000,2,15417,136,0,13,310392,JP-33,7010
Hiroshima,広島県,22339,2861000,159,21978,202,1,0,990011,JP-34,8480
Yamaguchi,山口県,6020,1451000,210,5717,93,0,0,215836,JP-35,6114
Tokushima,徳島県,3292,785000,3,3225,66,0,2,117476,JP-36,4147
Kagawa,香川県,4712,996000,7,4666,38,0,1,146159,JP-37,1862
Ehime,愛媛県,5415,1431000,3,5330,82,0,0,175101,JP-38,5679
Kochi,高知県,4172,764000,5,4134,33,0,0,112488,JP-39,7105
Fukuoka,福岡県,74842,5072000,94,74102,627,3,19,1446228,JP-40,4847
Saga,佐賀県,5881,850000,13,5893,30,0,55,121959,JP-41,2440
Nagasaki,長崎県,6133,1427000,14,6047,73,0,1,204978,JP-42,4106
Kumamoto,熊本県,14398,1817000,1,14261,136,0,0,124960,JP-43,7268
Oita,大分県,8189,1197000,2,8103,84,0,0,307845,JP-44,5100
Miyazaki,宮崎県,6153,1135000,0,6096,41,0,16,73174,JP-45,6795
Kagoshima,鹿児島県,9133,1706000,8,9054,66,0,5,177368,JP-46,9045
Okinawa,沖縄県,51120,1393000,669,50055,398,13,2,443324,JP-47,2277
